Year,State,Atkin05,Gini,RMeanDev,Theil
1917,United States,0.26,0.51,0.79,0.84
1917,Alabama,0.16,0.40,0.61,0.45
1917,Arizona,0.16,0.40,0.62,0.45
1917,Arkansas,0.13,0.38,0.56,0.32
1917,California,0.19,0.45,0.69,0.55
1917,Colorado,0.19,0.44,0.67,0.59
1917,Connecticut,0.26,0.53,0.83,0.80
1917,Delaware,0.51,0.73,1.21,2.00
1917,District of Columbia,0.22,0.48,0.75,0.67
1917,Florida,0.15,0.40,0.60,0.44
1917,Georgia,0.14,0.39,0.58,0.41
1917,Idaho,0.12,0.35,0.51,0.34
1917,Illinois,0.24,0.49,0.76,0.77
1917,Indiana,0.15,0.38,0.58,0.43
1917,Iowa,0.09,0.30,0.44,0.23
1917,Kansas,0.14,0.37,0.55,0.38
1917,Kentucky,0.17,0.42,0.64,0.46
1917,Louisiana,0.20,0.47,0.71,0.54
1917,Maine,0.21,0.48,0.74,0.60
1917,Maryland,0.23,0.51,0.77,0.70
1917,Massachusetts,0.30,0.58,0.92,0.90
1917,Michigan,0.24,0.49,0.76,0.76
1917,Minnesota,0.21,0.45,0.69,0.62
1917,Mississippi,0.17,0.44,0.66,0.44
1917,Missouri,0.21,0.47,0.72,0.63
1917,Montana,0.12,0.35,0.53,0.34
1917,Nebraska,0.10,0.31,0.45,0.26
1917,Nevada,0.09,0.32,0.47,0.24
1917,New Hampshire,0.21,0.48,0.74,0.60
1917,New Jersey,0.25,0.51,0.80,0.78
1917,New Mexico,0.17,0.42,0.64,0.47
1917,New York,0.37,0.63,1.01,1.30
1917,North Carolina,0.18,0.43,0.65,0.54
1917,North Dakota,0.07,0.28,0.40,0.18
1917,Ohio,0.26,0.52,0.81,0.85
1917,Oklahoma,0.18,0.42,0.63,0.56
1917,Oregon,0.18,0.43,0.64,0.53
1917,Pennsylvania,0.30,0.56,0.88,0.95
1917,Rhode Island,0.35,0.61,0.97,1.16
1917,South Carolina,0.13,0.37,0.55,0.37
1917,South Dakota,0.05,0.24,0.35,0.13
1917,Tennessee,0.16,0.42,0.64,0.41
1917,Texas,0.17,0.42,0.63,0.51
1917,Utah,0.17,0.42,0.64,0.49
1917,Vermont,0.25,0.51,0.79,0.81
1917,Virginia,0.18,0.44,0.67,0.50
1917,Washington,0.16,0.40,0.60,0.45
1917,West Virginia,0.22,0.48,0.75,0.63
1917,Wisconsin,0.19,0.44,0.68,0.53
1917,Wyoming,0.17,0.43,0.66,0.44
1918,United States,0.19,0.44,0.64,0.59
1918,Alabama,0.11,0.35,0.49,0.30
1918,Arizona,0.13,0.36,0.52,0.36
1918,Arkansas,0.12,0.38,0.55,0.31
1918,California,0.16,0.42,0.60,0.45
1918,Colorado,0.12,0.34,0.48,0.33
1918,Connecticut,0.20,0.46,0.67,0.60
1918,Delaware,0.33,0.57,0.89,1.23
1918,District of Columbia,0.19,0.44,0.65,0.55
1918,Florida,0.13,0.38,0.56,0.34
1918,Georgia,0.14,0.39,0.57,0.38
1918,Idaho,0.08,0.30,0.43,0.19
