Year,Tournament,Mens_Winner,Mens_RunnerUp,Womens_Winner,Womens_RunnerUp,
2025,Australian Open,Jannik Sinner,Alexander Zverev,Madison Keys,Aryna Sabalenka,
2024,U.S. Open,Jannik Sinner,Taylor Fritz,Aryna Sabalenka,Jessica Pegula,
2024,Wimbledon,Carlos Alcaraz,Novak Djokovic,Barbora Krejcikova,Jasmine Paolini,
2024,French Open,Carlos Alcaraz,Alexander Zverev,Iga Swiatek,Jasmine Paolini,
2024,Australian Open,Jannik Sinner,Daniil Medvedev,Aryna Sabalenka,Qinwen Zheng,
2023,U.S. Open,Novak Djokovic,Daniil Medvedev,Coco Gauff,Aryna Sabalenka,
2023,Wimbledon,Carlos Alcaraz,Novak Djokovic,Marketa Vondrousova,Ons Jabeur,
2023,French Open,Novak Djokovic,Casper Ruud,Iga Swiatek,Karolina Muchova,
2023,Australian Open,Novak Djokovic,Stefanos Tsitsipas,Aryna Sabalenka,Elena Rybakina,
2022,U.S. Open,Carlos Alcaraz,Casper Ruud,Iga Swiatek,Ons Jabeur,
2022,Wimbledon,Novak Djokovic,Nick Kyrgios,Elena Rybakina,Ons Jabeur,
2022,French Open,Rafael Nadal,Casper Ruud,Iga Swiatek,Coco Gauff,
2022,Australian Open,Rafael Nadal,Daniil Medvedev,Ashleigh Barty,Danielle Collins,
2021,U.S. Open,Daniil Medvedev,Novak Djokovic,Emma Raducanu,Leylah Fernandez,
2021,Wimbledon,Novak Djokovic,Matteo Berrettini,Ashleigh Barty,Karolina Pliskova,
2021,French Open,Novak Djokovic,Stefanos Tsitsipas,Barbora Krejcikova,Anastasia Pavlyuchenkova,
2021,Australian Open,Novak Djokovic,Daniil Medvedev,Naomi Osaka,Jennifer Brady,
2020,French Open,Rafael Nadal,Novak Djokovic,Iga Swiatek,Sofia Kenin,
2020,U.S. Open,Dominic Thiem,Alexander Zverev,Naomi Osaka,Victoria Azarenka,
2020,Australian Open,Novak Djokovic,Dominic Thiem,Sofia Kenin,Garbine Muguruza,
2019,U.S. Open,Rafael Nadal,Daniil Medvedev,Bianca Andreescu,Serena Williams,
2019,Wimbledon,Novak Djokovic,Roger Federer,Simona Halep,Serena Williams,
2019,French Open,Rafael Nadal,Dominic Thiem,Ashleigh Barty,Marketa Vondrousova,
2019,Australian Open,Novak Djokovic,Rafael Nadal,Naomi Osaka,Petra Kvitova,
2018,U.S. Open,Novak Djokovic,Juan Martin del Potro,Naomi Osaka,Serena Williams,
2018,Wimbledon,Novak Djokovic,Kevin Anderson,Angelique Kerber,Serena Williams,
2018,French Open,Rafael Nadal,Dominic Thiem,Simona Halep,Sloane Stephens,
2018,Australian Open,Roger Federer,Marin Cilic,Caroline Wozniacki,Simona Halep,
2017,U.S. Open,Rafael Nadal,Kevin Anderson,Sloane Stephens,Madison Keys,
2017,Wimbledon,Roger Federer,Marin Cilic,Garbine Muguruza,Venus Williams,
2017,French Open,Rafael Nadal,Stan Wawrinka,Jelena Ostapenko,Simona Halep,
2017,Australian Open,Roger Federer,Rafael Nadal,Serena Williams,Venus Williams,
2016,U.S. Open,Stan Wawrinka,Novak Djokovic,Angelique Kerber,Karolina Pliskova,
2016,Wimbledon,Andy Murray,Milos Raonic,Serena Williams,Angelique Kerber,
2016,French Open,Novak Djokovic,Andy Murray,Garbine Muguruza,Serena Williams,
2016,Australian Open,Novak Djokovic,Andy Murray,Angelique Kerber,Serena Williams,
2015,U.S. Open,Novak Djokovic,Roger Federer,Flavia Pennetta,Roberta Vinci,
2015,Wimbledon,Novak Djokovic,Roger Federer,Serena Williams,Garbine Muguruza,
2015,French Open,Stan Wawrinka,Novak Djokovic,Serena Williams,Lucie Safarova,
2015,Australian Open,Novak Djokovic,Andy Murray,Serena Williams,Maria Sharapova,
2014,U.S. Open,Marin Cilic,Kei Nishikori,Serena Williams,Caroline Wozniacki,
2014,Wimbledon,Novak Djokovic,Roger Federer,Petra Kvitova,Eugenie Bouchard,
2014,French Open,Rafael Nadal,Novak Djokovic,Maria Sharapova,Simona Halep,
2014,Australian Open,Stan Wawrinka,Rafael Nadal,Li Na,Dominika Cibulkova,
2013,U.S. Open,Rafael Nadal,Novak Djokovic,Serena Williams,Victoria Azarenka,
2013,Wimbledon,Andy Murray,Novak Djokovic,Marion Bartoli,Sabine Lisicki,
2013,French Open,Rafael Nadal,David Ferrer,Serena Williams,Maria Sharapova,
2013,Australian Open,Novak Djokovic,Andy Murray,Victoria Azarenka,Li Na,
2012,U.S. Open,Andy Murray,Novak Djokovic,Serena Williams,Victoria Azarenka,
2012,Wimbledon,Roger Federer,Andy Murray,Serena Williams,Agnieszka Radwanska,
2012,French Open,Rafael Nadal,Novak Djokovic,Maria Sharapova,Sara Errani,
2012,Australian Open,Novak Djokovic,Rafael Nadal,Victoria Azarenka,Maria Sharapova,
2011,U.S. Open,Novak Djokovic,Rafael Nadal,Samantha Stosur,Serena Williams,
2011,Wimbledon,Novak Djokovic,Rafael Nadal,Petra Kvitova,Maria Sharapova,
