State,GirlsBasketballSchools,GirlsBasketballParticipants,GirlsBowlingSchools,GirlsBowlingParticipants,GirlsCompetitiveSpirtSchools,GirlsCompetitiveParticipants,GirlsXCSchools,GirlsXCParticipants,GirlsFHSchools,GirlsFHParticipants,GirlsFB11PlayerSchools,GirlsFB11PlayerParticipants,GirlsGolfSchools,GirlsGolfParticipants,GirlsGymnasticsSchools,GirlsGymnasticsParticipants,GirlsIceHockeySchools,GirlsIceHockeyParticipants,GirlsLacrosseSchools,GirlsLacrosseParticipants,GirlsSoccerSchools,GirlsSoccerParticipants,GirlsSoftballSchools,GirlsSoftballParticipants,GirlsSDSchools,GirlsSDParticipants,GirlsTennisSchools,GirlsTennisParticipants,GirlsTFIndoorSchools,GirlsTFIndoorParticipants,GirlsTFOutdoorSchools,GirlsTFOutdoorParticipants,GirlsVBSchools,GirlsVBParticipants,GirlsWrestlingSchools,GirlsWrestlingParticipants,BoysBaseballSchools,BoysBaseballParticipants,BoysBasketballSchools,BoysBasketballPartiipants,BoysBowlingSchools,BoysBowlingParticipants,BoysXCSchools,BoysXCParticipants,BoysFootball11PlayerSchools,BoysFootball11PlayerParticipants,BoysFootball8PlayerSchools,BoysFootball8PlayerParticipants,BoysGolfSchools,BoysGolfParticipants,BoysIceHockeySchools,BoysIceHockeyParticipants,BoysLacrosseSchools,BoysLacrosseParticipants,BoysScocerSchools,BoysSoccerParticipants,BoysSDSchools,BoysSDParticipants,BoysTennisSchools,BoysTennisParticipants,BoysTFIndoorSchools,BoysTFIndoorParticipants,BoysTFOutdoorSchools,BoysTFOutdoorParticipants,BoysVBSchools,BoysVBParticipants,BoysWrestlingSchools,BoysWrestlingParticipants
AL,420,8003,113,956,380,8412,308,"3,321",,,,5,273,"1,180",,,,,,,220,"6,754",401,"11,382",130,942,186,"2,486",210,"3,518",381,"8,705",418,"11,041",105,636,419,"14,337",421,"12,673",118,"1,218",308,"4,421",393,"35,306",,,299,"2,651",,,,,230,"9,297",130,806,186,"1,920",210,"4,448",381,"11,736",,,168,"5,393"
AK,110,"1,400",8,62,22,230,98,916,,,22,5,,,8,51,5,5,,,30,695,26,452,33,351,20,181,,,51,"1,050",67,"2,083",42,208,29,585,125,"1,745",8,50,98,850,22,"1,445",,,,,23,387,,,30,773,33,320,20,178,,,51,"1,035",,,85,"1,100"
AZ,271,"6,040",,,232,"6,208",240,"2,400",,,,77,127,"1,152",,,,,,,203,"6,968",249,"6,240",166,"2,602",189,"2,879",,,254,"7,349",277,"8,980",200,"1,522",257,"8,054",278,"8,617",,,243,"3,288",221,"18,233",27,"1,686",209,"1,942",,,,,227,"8,786",163,"2,230",176,"2,036",,,255,"9,812",130,"3,543",212,"6,185"
AR,301,"5,018",89,713,146,"2,852",206,"1,789",,,5,5,209,931,3,31,,,4,65,114,"2,810",267,"4,628",60,518,142,"1,509",80,"1,105",284,"4,544",186,"5,851",58,583,277,"6,353",311,"6,387",91,885,208,"2,241",194,"11,294",33,839,236,"1,650",,,3,68,118,"3,548",61,504,141,"1,291",80,"1,411",286,"6,084",,,75,"1,809"
CA,"1,386","28,950",1,4,840,"22,182","1,332","19,080",108,"3,567",196,359,936,"8,913",68,540,2,43,310,"10,162","1,367","47,631","1,197","29,483",953,"21,525","1,010","21,864",,,"1,281","44,774","1,486","46,851",815,"7,921","1,269","43,051","1,519","46,883",1,34,"1,362","27,045","1,035","89,667",113,"2,539","1,004","11,755",35,604,274,"10,259","1,386","56,124",921,"18,461",956,"17,630",,,"1,275","57,088","1,142","27,982",881,"26,327"
CO,360,"6,939",,,250,"3,413",,,16,643,,40,162,"1,936",35,577,,38,57,"1,752",241,"8,064",177,"3,760",128,"3,809",154,"4,683",,,325,"7,995",357,"10,880",118,"1,114",279,"8,132",358,"9,852",,,,,205,"13,316",40,"1,507",195,"2,857",36,"1,321",77,"3,575",229,"9,080",73,"1,658",120,"3,032",,,325,"10,971",81,"1,903",233,"6,067"
CT,182,"3,523",,,155,"2,182",177,"2,134",82,"2,758",,64,99,687,88,398,,15,99,"3,538",166,"5,133",176,"3,523",102,"2,032",149,"3,151",168,"4,190",177,"6,218",170,"5,190",,231,175,"5,111",182,"5,094",,,179,"2,982",140,"9,401",,,158,"1,745",57,"1,468",102,"3,829",179,"6,721",110,"1,492",133,"2,178",170,"4,871",178,"7,461",63,"1,209",139,"2,595"
DE,55,889,,,,,53,694,49,"1,312",,11,,94,,,,,36,943,54,"1,462",45,973,41,649,37,571,38,739,46,"1,083",56,"1,569",,55,50,"1,300",53,"1,560",,,52,873,46,"2,454",,,44,351,,,40,"1,287",52,"1,918",40,535,34,442,38,867,45,"1,628",19,345,48,966
DC,37,542,11,51,25,562,31,369,6,191,,,3,18,,,2,71,8,243,23,565,22,368,14,167,21,221,25,380,40,669,4,773,4,24,27,540,44,"1,078",,,34,521,25,"1,186",1,30,18,126,3,71,8,256,25,830,15,160,23,227,22,444,40,823,4,55,16,228
FL,713,"11,482",251,"1,598",303,"5,013",645,"6,467",,,,233,504,"2,563",,,,,224,"5,834",628,"16,547",604,"11,044",479,"6,130",534,"5,327",,,677,"15,975",705,"19,667",309,"1,778",662,"18,097",726,"20,616",232,"1,561",657,"7,315",585,"38,515",,,560,"4,448",,,224,"6,938",674,"19,819",474,"5,678",524,"4,732",,,679,"19,820",246,"3,958",417,"9,066"
