UnitID,Institution Name,Average net price-students awarded grant or scholarship aid  2022-23,Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid,Percent of undergraduate students awarded Federal Pell grants,Average net price-students awarded grant or scholarship aid  2022-23,Average net price (income over 110 000)-students awarded Title IV federal financial aid  2022-23,Average net price (income over 110 000)-students awarded Title IV federal financial aid  2022-23,State,Total price for out-of-state students living on campus 2023-24,Total price for out-of-state students living off campus (not with family) ,Percent admitted - women,Full-time retention rate  2023,Percent of total enrollment that are Hispanic/Latino,Percent of total enrollment that are White,Percent of total enrollment that are Black or African American ,Percent of total enrollment that are Asian,Number of first-time undergraduates - in-state,Number of first-time undergraduates - out-of-state ,Total  enrollment,Graduation rate  women ,Graduation rate  total cohort ,Graduation rate  Black  non-Hispanic ,Graduation rate  Hispanic ,Graduation rate  White  non-Hispanic,Graduation rate  Asian ,ACT Composite 25th percentile score ,ACT Composite 50th percentile score ,ACT Composite 75th percentile score ,ACT English 25th percentile score ,ACT English 50th percentile score,ACT English 75th percentile score ,ACT Math 25th percentile score ,ACT Math 75th percentile score,ACT Math 50th percentile score
227526,Prairie View A & M University,,92,62,14065,23032,,TX,43373,41928,77,74,7,1,84,1,1862,239,9517,45,43,45,31,31,36,16,18,20,14,17,20,15,20,17
157951,Western Kentucky University,,86,29,12054,18601,,KY,42452,46105,98,78,6,75,8,3,1989,826,16759,59,54,29,36,60,69,16,18,20,14,17,21,15,18,16
101480,Jacksonville State University,,80,43,14511,18079,,AL,35114,37972,77,64,5,61,22,1,1319,383,9672,55,51,30,40,57,60,17,20,24,16,21,25,16,23,18
188030,New Mexico State University-Main Campus,,81,40,8353,10360,,NM,43235,43971,78,75,58,27,3,1,1880,462,14779,56,52,40,50,58,62,17,20,24,15,19,23,16,23,18
228796,The University of Texas at El Paso,,72,61,10333,18978,,TX,41684,44130,100,77,84,5,2,1,3629,65,24351,52,46,26,46,47,60,17,20,23,16,19,23,16,22,19
220862,University of Memphis,,83,40,13656,19252,,TN,32510,34314,94,71,9,38,35,5,2065,451,21736,54,49,40,50,56,77,17,20,24,16,20,24,16,23,18
175430,Blue Mountain Christian University,16525,59,26,,,23067,MS,33258,34026,100,74,9,68,15,1,70,32,971,64,51,60,100,52,0,18,20,22,17,19,23,17,22,20
169798,Eastern Michigan University,,69,37,17388,22274,,MI,31854,32158,83,68,9,58,17,4,1564,245,13324,49,45,29,37,53,53,18,22,26,18,22,26,17,26,21
139931,Georgia Southern University,,75,35,16957,20259,,GA,36626,35715,90,77,8,58,24,2,4314,355,26041,59,52,49,45,54,59,18,20,23,16,20,23,17,23,18
203517,Kent State University at Kent,,78,27,20333,25263,,OH,41288,41886,88,79,4,71,8,3,3405,766,26106,68,65,58,61,67,69,18,21,25,17,21,24,17,25,21
