Year,State,Top10_adj,Top5_adj,Top1_adj,Top05_adj,Top01_adj,Top001_adj
1917,United States,40.51,30.64,17.74,14.34,8.40,3.37
1917,Alabama,30.74,21.72,14.70,10.88,5.48,1.86
1917,Arizona,35.10,24.49,12.02,9.00,4.39,1.39
1917,Arkansas,27.25,18.54,11.42,8.29,3.73,0.97
1917,California,40.95,29.58,15.39,11.79,5.90,1.80
1917,Colorado,36.12,26.64,13.65,10.57,5.79,2.07
1917,Connecticut,43.81,33.11,19.56,15.63,8.41,2.88
1917,Delaware,63.27,51.42,38.90,35.09,26.61,14.88
1917,District of Columbia,56.29,39.04,21.67,16.96,8.83,2.43
1917,Florida,38.89,29.17,18.00,13.33,6.54,2.35
1917,Georgia,34.15,24.83,15.49,11.34,5.48,1.75
1917,Idaho,24.82,16.32,7.26,5.23,2.47,0.87
1917,Illinois,41.44,30.70,17.09,13.70,7.77,3.03
1917,Indiana,31.63,22.54,11.75,8.80,4.56,1.42
1917,Iowa,25.76,16.52,6.50,4.51,1.98,0.52
1917,Kansas,29.30,20.41,9.49,7.02,3.50,1.08
1917,Kentucky,33.10,23.88,15.27,11.56,5.94,1.84
1917,Louisiana,36.90,27.35,16.93,13.11,6.61,1.92
1917,Maine,37.06,27.49,17.48,13.66,7.24,2.25
1917,Maryland,51.25,40.07,22.46,17.56,9.13,3.09
1917,Massachusetts,47.49,37.02,23.45,19.06,10.31,3.13
1917,Michigan,37.17,27.59,16.41,13.18,7.54,2.92
1917,Minnesota,33.59,24.33,12.85,10.27,5.86,1.83
1917,Mississippi,25.90,17.31,12.10,9.22,4.62,1.38
1917,Missouri,39.76,29.96,17.32,13.63,7.39,2.56
1917,Montana,31.84,21.85,9.65,6.95,3.17,1.02
1917,Nebraska,26.80,16.32,6.55,4.61,2.13,0.66
1917,Nevada,33.71,22.62,9.33,6.49,2.66,0.52
1917,New Hampshire,38.55,28.85,17.89,13.99,7.40,2.23
1917,New Jersey,45.67,34.86,20.00,16.00,8.93,3.21
1917,New Mexico,29.23,20.35,11.51,8.74,4.49,1.45
1917,New York,53.34,41.19,27.48,22.97,14.06,6.32
1917,North Carolina,29.00,20.13,14.04,10.61,5.64,2.17
1917,North Dakota,25.50,16.94,6.48,4.38,1.78,0.43
1917,Ohio,38.68,28.98,17.53,14.22,8.23,3.34
1917,Oklahoma,33.20,23.97,12.89,9.82,5.30,2.13
1917,Oregon,33.97,24.67,13.18,9.95,5.05,1.94
1917,Pennsylvania,40.83,30.94,19.25,15.85,9.37,3.57
1917,Rhode Island,42.83,32.76,21.63,18.11,11.27,4.94
1917,South Carolina,25.30,16.76,9.91,7.13,3.34,1.06
1917,South Dakota,20.48,11.77,3.99,2.57,0.98,0.24
1917,Tennessee,34.59,25.24,16.63,12.52,6.13,1.58
1917,Texas,37.79,28.16,15.70,11.86,6.05,2.22
1917,Utah,31.67,22.58,12.00,9.13,4.62,1.56
1917,Vermont,38.01,28.36,18.59,14.94,8.82,3.66
1917,Virginia,33.68,24.41,15.33,11.72,5.98,1.92
1917,Washington,35.62,26.18,12.92,9.65,4.79,1.62
1917,West Virginia,32.50,23.34,14.55,11.49,6.36,2.01
1917,Wisconsin,34.03,24.73,14.22,11.01,5.82,1.72
1917,Wyoming,34.06,24.04,12.13,8.96,3.95,0.99
1918,United States,40.11,29.49,15.96,12.43,6.72,2.45
1918,Alabama,30.25,24.59,11.72,8.26,3.79,1.03
1918,Arizona,35.65,24.36,11.88,8.64,4.16,1.41
1918,Arkansas,27.26,21.50,11.90,8.44,3.59,0.90
1918,California,41.43,29.82,15.23,11.36,5.34,1.50
1918,Colorado,34.27,22.83,10.54,7.74,3.77,1.28
1918,Connecticut,41.69,30.72,17.38,13.45,6.65,1.95
1918,Delaware,62.46,49.47,33.80,28.51,18.58,9.77
1918,District of Columbia,46.15,34.39,19.28,14.59,7.06,1.88
1918,Florida,41.12,35.81,18.23,12.99,5.66,1.38
1918,Georgia,36.71,31.27,17.27,12.57,5.97,1.65
1918,Idaho,24.01,15.93,6.03,3.92,1.54,0.42
1918,Illinois,41.72,30.61,16.45,12.59,6.52,2.23
1918,Indiana,33.11,24.33,10.53,7.55,3.55,1.03
1918,Iowa,25.52,16.58,6.21,4.14,1.66,0.41
1918,Kansas,29.82,21.99,8.97,6.10,2.58,0.67
1918,Kentucky,34.26,28.73,14.82,10.82,5.20,1.48
1918,Louisiana,37.66,32.24,18.84,14.33,6.95,1.98
1918,Maine,37.08,29.70,14.69,11.07,5.54,1.70
1918,Maryland,47.70,34.54,18.73,14.34,7.15,2.41
1918,Massachusetts,45.95,35.01,21.29,16.92,8.98,2.88
1918,Michigan,39.38,30.11,15.53,11.97,6.44,2.34
1918,Minnesota,35.37,25.57,12.40,9.45,5.09,1.80
1918,Mississippi,25.87,20.07,11.89,8.35,3.81,1.01
1918,Missouri,40.57,32.46,16.42,12.26,5.85,1.61
1918,Montana,30.61,19.83,9.03,6.41,2.93,1.08
1918,Nebraska,23.63,15.41,5.90,3.96,1.61,0.42
1918,Nevada,34.02,21.12,8.01,5.03,1.76,0.30
1918,New Hampshire,37.93,28.85,14.94,11.47,5.77,1.56
1918,New Jersey,43.62,31.63,17.44,13.46,6.93,2.22
1918,New Mexico,33.38,22.96,9.10,6.17,2.94,0.90
1918,New York,51.90,41.24,26.54,21.40,12.11,4.97
1918,North Carolina,31.27,25.64,16.44,12.35,6.44,2.36
1918,North Dakota,23.33,15.20,5.63,3.61,1.27,0.26
1918,Ohio,35.89,25.27,13.46,10.44,5.50,1.94
1918,Oklahoma,35.49,29.25,13.18,9.50,4.48,1.45
1918,Oregon,33.96,24.33,11.92,8.80,4.37,1.68
1918,Pennsylvania,36.82,26.61,15.27,12.26,6.89,2.56
1918,Rhode Island,40.33,31.29,20.00,16.18,9.18,3.50
1918,South Carolina,27.50,21.75,11.31,7.85,3.28,0.83
1918,South Dakota,18.02,11.29,3.76,2.36,0.85,0.20
1918,Tennessee,36.78,31.33,16.82,12.38,5.96,1.65
1918,Texas,38.26,32.38,16.38,12.20,5.84,1.86
1918,Utah,32.69,22.37,9.73,6.77,2.80,0.67
1918,Vermont,38.48,31.89,16.48,12.68,6.59,2.02
1918,Virginia,35.49,29.15,14.00,10.29,4.80,1.39
1918,Washington,31.93,21.03,9.64,6.94,3.17,1.04
1918,West Virginia,31.36,22.31,9.92,7.30,3.57,1.16
1918,Wisconsin,35.11,26.39,12.73,9.60,4.70,1.25
1918,Wyoming,35.02,26.03,13.24,9.40,3.88,0.88
1919,United States,40.32,30.17,16.41,12.64,6.63,2.29
1919,Alabama,31.85,26.44,13.44,9.77,4.57,1.21
1919,Arizona,32.60,22.08,10.08,7.11,3.11,0.86
1919,Arkansas,26.70,21.09,10.05,7.08,3.02,0.77
1919,California,41.13,29.92,15.39,11.28,5.15,1.45
1919,Colorado,36.90,26.22,12.37,8.99,4.31,1.30
1919,Connecticut,40.58,30.29,16.99,12.86,6.10,1.60
1919,Delaware,58.65,46.17,31.23,26.06,16.65,7.62
1919,District of Columbia,45.77,34.21,18.60,13.81,6.65,1.88
1919,Florida,41.47,33.42,15.97,11.67,5.33,1.69
1919,Georgia,36.75,31.52,15.59,11.47,5.32,1.46
1919,Idaho,24.98,17.02,6.57,4.34,1.66,0.42
1919,Illinois,43.02,31.29,16.44,12.47,6.26,2.05
1919,Indiana,33.65,23.99,10.97,7.98,3.69,1.05
1919,Iowa,26.02,17.16,6.79,4.52,1.75,0.41
1919,Kansas,30.67,22.06,9.24,6.49,2.90,0.90
1919,Kentucky,35.05,28.99,13.36,9.50,4.17,1.12
1919,Louisiana,38.36,31.69,17.84,13.65,6.80,2.03
1919,Maine,37.17,27.25,13.14,9.66,4.71,1.53
1919,Maryland,46.03,34.10,18.99,14.30,6.92,2.12
1919,Massachusetts,45.04,34.44,21.05,16.38,8.36,2.48
1919,Michigan,39.77,29.67,16.38,13.02,7.74,4.11
1919,Minnesota,33.30,23.63,11.95,8.87,4.55,1.43
1919,Mississippi,26.61,21.00,12.49,9.21,4.38,1.20
1919,Missouri,42.51,33.68,17.43,13.00,6.15,1.65
