"
District Number","
District Name","ELA - All Students
 Prof","ELA - White 
 Prof",ELA - African American Gap,"ELA - Hispanic
Gap","ELA - Asian
Gap","ELA - Multiracial
Gap","ELA - American Indian/ Alaskan Native
Gap","ELA - Native Hawaiian/
Pacific Islander
Gap","ELA - Not Econ Disadv
 Prof","ELA - Econ Disadv
Gap","ELA - No Disabilities
 Prof","ELA - Students w/
Disabilities
Gap","ELA - Not LEP
  Prof","ELA - LEP
Gap","ELA - Male
Prof","ELA - Female
Gap","MATH - All Students
 Prof","MATH - White 
 Prof",MATH - African American Gap,"MATH - Hispanic
Gap","MATH - Asian
Gap","MATH - Multiracial
Gap","MATH - American Indian/ Alaskan Native
Gap","MATH - Native Hawaiian/
Pacific Islander
Gap","MATH - Not Econ Disadv
 Prof","MATH - Econ Disadv
Gap","MATH - No Disabilities
 Prof","MATH - Students w/
Disabilities
Gap","MATH - Not LEP
  Prof","MATH - LEP
Gap","MATH - Male
Prof","MATH - Female
Gap"
4820,ABERDEEN SCHOOL DIST,31.6%,,,,,,,,,,35.0%,-25.6,31.6%,,29.4%,4.7,40.9%,,,,,,,,,,44.9%,-28.2,40.9%,,39.0%,4.1
200,ALCORN SCHOOL DIST,49.0%,50.9%,-22.3,-22.3,,-18.1,,,62.9%,-21.7,54.3%,-36.6,49.0%,-3.5,43.2%,12.0,59.8%,60.7%,-22.2,7.7,,-3.1,,,71.8%,-18.6,65.9%,-42.7,59.9%,-13.7,59.6%,0.5
2545,AMBITION PREPARATORY,27.8%,,,,,,,,,,30.8%,-30.8,27.8%,,26.0%,3.6,22.8%,,,,,,,,,,23.7%,-9.4,22.8%,,23.0%,-0.5
300,AMITE CO SCHOOL DIST,30.3%,32.9%,-3.5,,,,,,,,34.4%,-29.6,30.3%,,31.1%,-1.7,47.9%,47.9%,-1.2,,,,,,,,54.0%,-44.3,47.9%,,45.1%,5.8
4821,AMORY SCHOOL DIST,52.7%,64.7%,-30.8,-20.3,,-19.2,,,67.9%,-24.7,57.2%,-34.9,52.7%,,48.9%,7.7,60.9%,74.8%,-36.3,-11.6,,-22.4,,,73.1%,-20.1,65.2%,-33.2,60.9%,,61.7%,-1.6
400,ATTALA CO SCHOOL DIST,45.0%,52.7%,-13.7,,,,,,,,49.0%,-23.7,45.0%,,43.8%,2.5,55.5%,66.5%,-19.9,,,-21.0,,,,,61.6%,-37.8,55.5%,,52.4%,6.2
5920,BALDWYN SCHOOL DISTRICT,31.6%,38.4%,-17.2,,,15.8,,,38.2%,-9.7,33.6%,-17.3,31.6%,,25.9%,12.3,44.9%,56.7%,-26.6,,,-10.5,,,53.7%,-12.9,47.9%,-27.1,44.9%,,42.6%,4.7
2320,BAY ST LOUIS WAVELAND SCHOOL DIST,59.5%,65.7%,-21.1,,,-9.6,,,,,64.6%,-35.7,60.1%,-28.8,58.5%,2.1,64.3%,71.5%,-22.0,,,-16.6,,,,,69.8%,-38.4,64.7%,-17.3,66.7%,-5.0
500,BENTON CO SCHOOL DIST,36.8%,46.3%,-20.4,12.5,,-13.0,,,,,42.5%,-31.3,37.2%,,33.7%,6.4,38.2%,53.4%,-28.0,-18.1,,-31.2,,,,,42.9%,-26.6,38.3%,,36.7%,3.1
2420,BILOXI PUBLIC SCHOOL DIST,57.6%,71.7%,-28.5,-24.8,-2.5,-6.2,,,73.2%,-24.2,61.7%,-36.9,61.1%,-42.0,53.6%,8.3,70.9%,81.0%,-21.6,-15.8,11.5,-10.7,-21.0,,80.7%,-15.1,75.0%,-36.4,73.2%,-26.9,70.8%,0.1
5921,BOONEVILLE SCHOOL DIST,55.5%,64.8%,-35.2,,,-18.2,,,67.1%,-20.7,61.3%,-46.4,55.5%,,49.7%,12.1,65.6%,73.8%,-29.3,,,-24.6,,,80.4%,-25.8,71.9%,-44.2,65.6%,,61.8%,7.8
4320,BROOKHAVEN SCHOOL DIST,38.6%,61.6%,-33.9,-36.6,2.0,-12.5,,,64.9%,-34.2,42.4%,-30.7,39.0%,-26.5,35.8%,5.8,38.6%,58.8%,-29.7,-24.0,,-1.1,,,65.5%,-33.9,42.1%,-27.1,38.8%,-12.1,35.8%,5.8
700,CALHOUN CO SCHOOL DIST,44.9%,54.8%,-23.5,-18.2,,-2.6,,,61.6%,-22.3,49.8%,-37.6,47.0%,-33.6,39.3%,11.3,46.1%,54.1%,-21.9,-5.1,,-12.2,,,63.9%,-23.3,50.3%,-31.2,47.2%,-15.8,42.7%,7.0
4520,CANTON PUBLIC SCHOOL DIST,35.5%,,,,,,,,,,38.4%,-29.1,37.1%,-16.0,31.1%,8.7,42.1%,,,,,,,,,,45.4%,-32.6,43.1%,-10.2,39.0%,6.1
800,CARROLL COUNTY SCHOOL DIST,35.0%,41.6%,-10.8,8.4,,-23.4,,,,,39.8%,-33.0,35.5%,-15.5,33.3%,3.4,29.4%,32.4%,-6.2,14.7,,-7.4,,,,,32.8%,-24.2,29.5%,-2.8,28.9%,1.1
911,CHICKASAW COUNTY SCHOOL DIST,47.9%,59.2%,-23.9,-24.5,,-7.8,,,64.2%,-21.3,52.7%,-34.9,48.8%,-40.5,45.8%,4.5,61.8%,69.3%,-17.8,-5.7,,-4.9,,,75.7%,-18.3,66.4%,-34.2,62.6%,-34.6,57.4%,9.0
1000,CHOCTAW CO SCHOOL DIST,60.5%,71.0%,-29.2,,,4.0,,,73.8%,-20.2,69.0%,-40.2,60.6%,,59.1%,3.0,60.4%,71.2%,-27.4,,,-16.7,,,76.6%,-24.2,68.7%,-38.4,60.8%,,61.2%,-1.7
1100,CLAIBORNE CO SCHOOL DIST,31.9%,,,,,,,,,,35.4%,-27.6,31.9%,,26.3%,10.9,31.2%,,,,,,,,,,35.4%,-32.6,31.2%,,30.0%,2.4
1425,CLARKSDALE COLLEGIATE,31.2%,46.2%,-16.1,,,,,,,,33.1%,-15.5,31.2%,,25.6%,9.9,20.3%,38.5%,-19.6,,,,,,,,21.9%,-13.1,20.3%,,18.2%,3.7
