Year,Sport,D1Teams,D1Athletes,D1AvgSquad,D2Teams,D2Athletes,D2AvgSquad,D3Teams,D3Athletes,D3AvgSquad,TotalNCAATeams,TotalNCAAAthletes,AvgNCAASquad
1998-1999,M_Archery,4,43,10.7,0,N/A,N/A,2,20,10,6,63,10.5
1998-1999,M_Archery,4,86,21.5,0,N/A,N/A,2,20,10,6,106,17.7
1999-2000,M_Archery,1,9,9,0,N/A,N/A,0,N/A,N/A,1,9,9
1999-2000,M_Archery,3,53,17.7,0,N/A,N/A,0,N/A,N/A,3,53,17.7
2000-2001,M_Archery,1,11,11,0,N/A,N/A,0,N/A,N/A,1,11,11
2000-2001,M_Archery,3,46,15.3,0,N/A,N/A,0,N/A,N/A,3,46,15.3
2001-2002,M_Archery,1,8,8,0,N/A,N/A,0,N/A,N/A,1,8,8
2001-2002,M_Archery,3,41,13.7,0,N/A,N/A,0,N/A,N/A,3,41,13.7
2002-2003,M_Archery,1,14,14,0,N/A,N/A,0,N/A,N/A,1,14,14
2002-2003,M_Archery,3,43,14.3,0,N/A,N/A,0,N/A,N/A,3,43,14.3
2003-2004,M_Archery,1,8,8,0,N/A,N/A,0,N/A,N/A,1,8,8
2003-2004,M_Archery,3,46,15.3,0,N/A,N/A,0,N/A,N/A,3,46,15.3
2004-2005,M_Archery,1,11,11,0,N/A,N/A,0,N/A,N/A,1,11,11
2004-2005,M_Archery,3,44,14.7,0,N/A,N/A,0,N/A,N/A,3,44,14.7
2005-2006,M_Archery,1,11,11,0,N/A,N/A,0,N/A,N/A,1,11,11
2005-2006,M_Archery,2,21,10.5,0,N/A,N/A,0,N/A,N/A,2,21,10.5
2006-2007,M_Archery,1,9,9,0,N/A,N/A,0,N/A,N/A,1,9,9
2006-2007,M_Archery,2,23,11.5,0,N/A,N/A,0,N/A,N/A,2,23,11.5
2007-2008,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2007-2008,M_Archery,1,12,12,0,N/A,N/A,0,N/A,N/A,1,12,12
2008-2009,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2008-2009,M_Archery,1,12,12,0,N/A,N/A,0,N/A,N/A,1,12,12
2009-2010,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2009-2010,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2010-2011,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2010-2011,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2011-2012,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2011-2012,M_Archery,0,0,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2012-2013,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2012-2013,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2013-2014,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2013-2014,M_Archery,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2014-2015,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2014-2015,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2015-2016,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2015-2016,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2016-2017,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2016-2017,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2017-2018,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2017-2018,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2018-2019,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2018-2019,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2019-2020,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2019-2020,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
2020-2021,M_Archery,0,0,N/A,0,0,N/A,0,0,N/A,0,0,N/A
