State,Region,Boys,Girls,Total,State Percentage of All Participants,% Boys of State Total,% Girls State Total,% of All ODP Boys,% of All ODP Girls,% of Region Boys,% of Region Girls
California,1,20,50,70,6,28.6,71.43,3.47,8.68,13.89,34.72
Georgia,2,38,24,62,5,61.3,38.71,6.6,4.17,26.39,16.67
Florida,2,30,28,58,5,51.7,48.28,5.21,4.86,20.83,19.44
New York,3,23,29,52,5,44.2,55.77,3.99,5.03,15.97,20.14
Michigan,4,28,24,52,5,53.8,46.15,4.86,4.17,19.44,16.67
Texas,2,20,29,49,4,40.8,59.18,3.47,5.03,13.89,20.14
Maryland,3,32,16,48,4,66.7,33.33,5.56,2.78,22.22,11.11
Illinois,4,18,28,46,4,39.1,60.87,3.13,4.86,12.5,19.44
Washington,1,24,21,45,4,53.3,46.67,4.17,3.65,16.67,14.58
Virginia,3,26,14,40,3,65,35,4.51,2.43,18.06,9.72
North Carolina,2,17,21,38,3,44.7,55.26,2.95,3.65,11.81,14.58
Ohio,4,14,22,36,3,38.9,61.11,2.43,3.82,9.72,15.28
Missouri,4,17,19,36,3,47.2,52.78,2.95,3.3,11.81,13.19
Hawaii,1,20,16,36,3,55.6,44.44,3.47,2.78,13.89,11.11
Pennsylvania,3,10,23,33,3,30.3,69.7,1.74,3.99,6.94,15.97
Wisconsin,4,13,20,33,3,39.4,60.61,2.26,3.47,9.03,13.89
Tennessee,2,9,23,32,3,28.1,71.88,1.56,3.99,6.25,15.97
Utah,1,19,11,30,3,63.3,36.67,3.3,1.91,13.19,7.64
New Jersey,3,15,13,28,2,53.6,46.43,2.6,2.26,10.42,9.03
Massachusetts,3,8,13,21,2,38.1,61.9,1.39,2.26,5.56,9.03
Oregon,1,14,6,20,2,70,30,2.43,1.04,9.72,4.17
Indiana,4,8,11,19,2,42.1,57.89,1.39,1.91,5.56,7.64
Iowa,4,13,6,19,2,68.4,31.58,2.26,1.04,9.03,4.17
New Hampshire,3,12,6,18,2,66.7,33.33,2.08,1.04,8.33,4.17
Minnesota,4,7,10,17,1,41.2,58.82,1.22,1.74,4.86,6.94
Colorado,1,10,7,17,1,58.8,41.18,1.74,1.22,6.94,4.86
Connecticut,3,8,8,16,1,50,50,1.39,1.39,5.56,5.56
Nevada,1,10,5,15,1,66.7,33.33,1.74,0.87,6.94,3.47
Louisiana,2,8,6,14,1,57.1,42.86,1.39,1.04,5.56,4.17
Arizona,1,4,9,13,1,30.8,69.23,0.69,1.56,2.78,6.25
Idaho,1,7,6,13,1,53.8,46.15,1.22,1.04,4.86,4.17
South Carolina,2,6,5,11,1,54.5,45.45,1.04,0.87,4.17,3.47
Kansas,4,9,2,11,1,81.8,18.18,1.56,0.35,6.25,1.39
Wyoming,1,4,6,10,1,40,60,0.69,1.04,2.78,4.17
Maine,3,2,7,9,1,22.2,77.78,0.35,1.22,1.39,4.86
Alabama,2,7,2,9,1,77.8,22.22,1.22,0.35,4.86,1.39
Vermont,3,1,7,8,1,12.5,87.5,0.17,1.22,0.69,4.86
Montana,1,4,4,8,1,50,50,0.69,0.69,2.78,2.78
New Mexico,1,7,1,8,1,87.5,12.5,1.22,0.17,4.86,0.69
Rhode Island,3,2,5,7,1,28.6,71.43,0.35,0.87,1.39,3.47
Oklahoma,2,3,4,7,1,42.9,57.14,0.52,0.69,2.08,2.78
Nebraska,4,6,1,7,1,85.7,14.29,1.04,0.17,4.17,0.69
ODP Europe,5,4,2,6,1,66.7,33.33,0.69,0.35,2.78,1.39
Delaware,3,3,2,5,0,60,40,0.52,0.35,2.08,1.39
Mississippi,2,3,2,5,0,60,40,0.52,0.35,2.08,1.39
Kentucky,4,4,1,5,0,80,20,0.69,0.17,2.78,0.69
South Dakota,1,4,0,4,0,100,0,0.69,0,2.78,0
North Dakota,1,2,0,2,0,100,0,0.35,0,1.39,0
West Virginia,3,2,0,2,0,100,0,0.35,0,1.39,0
Alaska,1,0,1,1,0,0,100,0,0.17,0,0.69
West Region,1,1,0,1,0,100,0,0.17,0,0.69,0
