Data,Year,Number of Sports Teams,FBS Conference,Total Expenses,Total Revenues,Total Football Spending,Athletics Related Debt
Arizona State,2005,,Pacific-12 Conference,39749018,"$41,334,126 ","$10,584,738 ","$35,000,000 "
Arizona State,2006,,Pacific-12 Conference,48897603,"$50,268,561 ","$14,631,191 ","$35,600,000 "
Arizona State,2007,,Pacific-12 Conference,54832410,"$54,735,433 ","$18,702,358 ",
Arizona State,2008,,Pacific-12 Conference,54296003,"$54,833,194 ","$18,515,792 ","$43,956,430 "
Arizona State,2009,,Pacific-12 Conference,53032149,"$51,892,026 ","$17,278,227 ","$35,462,000 "
Arizona State,2010,,Pacific-12 Conference,57905546,"$56,505,165 ","$18,084,699 ","$36,133,000 "
Arizona State,2011,,Pacific-12 Conference,57080884,"$55,294,113 ","$16,608,509 ","$32,994,000 "
Arizona State,2012,,Pacific-12 Conference,65587903,"$59,855,508 ","$24,541,562 ","$29,734,000 "
Arizona State,2013,,Pacific-12 Conference,65600187,"$65,673,955 ","$23,582,003 ","$32,305,000 "
Arizona State,2014,,Pacific-12 Conference,74553104,"$74,729,269 ","$27,869,848 ","$29,930,000 "
Arizona State,2015,,Pacific-12 Conference,83873516,"$84,440,040 ","$27,569,960 ","$83,075,000 "
Arizona State,2016,,Pacific-12 Conference,89086777,"$94,662,743 ","$27,084,029 ","$150,359,000 "
Arizona State,2017,,Pacific-12 Conference,98825395,"$101,579,860 ","$31,724,820 ","$211,774,000 "
Arizona State,2018,,Pacific-12 Conference,126782387,"$113,636,755 ","$52,816,903 ","$209,565,000 "
Arizona State,2019,,Pacific-12 Conference,118404377,"$121,698,840 ","$31,977,970 ","$207,171,000 "
Arizona State,2020,,Pacific-12 Conference,117912821,"$106,989,879 ","$40,701,748 ","$205,406,000 "
Arizona State,2021,,Pacific-12 Conference,103772499,"$117,675,310 ","$26,093,543 ","$245,181,000 "
Arizona State,2022,,Pacific-12 Conference,124008192,"$121,079,615 ","$39,264,216 ","$318,762,000 "
