Year,School,Conference,MensBaseball_Place,MensBaseball_Points,MensBasketball_Place,MensBasketball_Points,WomensBasketball_Place,WomensBasketball_Points,WomensXC_Place,WomensXC_Points,MensXC_Place,MensXC_Points,WomensEquestrian_Place,WomensEquestrian_Points,WomensFieldHockey_Place,WomensFieldHockey_Points,MensFootball_Place,MensFootball_Points,MensGolf_Place,MensGolf_Points,WomensGolf_Place,WomensGolf_Points,WomensGymnastics_Place,WomensGymnastics_Points,MensITF_Place,MensITF_Points,WomensITF_Place,WomensITF_Points,MensOTF_Place,MensOTF_Points,WomensOTF_Place,WomensOTF_Points,WomensRowing_Place,WomensRowing_Points,MensSoccer_Place,MensSoccer_Points,WomensSoccer_Place,WomensSoccer_Points,WomensSoftball_Place,WomensSoftball_Points,MensSD_Place,MensSD_Points,WomensSD_Place,WomensSD_Points,MensTennis_Place,MensTennis_Points,WomensTennis_Place,WomensTennis_Points,WomensVolleyball_Place,WomensVolleyball_Points,MensWrestling_Place,MensWrestling_Points,Total,Average,PerSport
2024_25,Texas,SEC,,,,,,,5,75,4,78.58,,,,,2,93.75,,,,,,,,,,,,,,,,,,,1,100,,,,,,,,,,,2,93.33,,,440.7,88.13,
2024_25,Tennessee,SEC,,,,,,,2,93.75,6,64.3,,,,,3,87.5,,,,,,,,,,,,,,,,,,,6,56.25,,,,,,,,,,,6,66.67,,,368.5,73.69,
2024_25,Alabama,SEC,,,,,,,1,100,2,92.86,,,,,4,81.25,,,,,,,,,,,,,,,,,,,7,56.25,,,,,,,,,,,14,13.33,,,343.7,68.74,
2024_25,Arkansas,SEC,,,,,,,4,81.25,1,100,,,,,11,37.5,,,,,,,,,,,,,,,,,,,3,81.25,,,,,,,,,,,11,33.33,,,333.3,66.67,
2024_25,Ole Miss,SEC,,,,,,,6,68.75,3,85.72,,,,,5,81.25,,,,,,,,,,,,,,,,,,,16,6.25,,,,,,,,,,,10,53.33,,,295.3,59.06,
2024_25,Missouri,SEC,,,,,,,13,25,5,71.44,,,,,6,81.25,,,,,,,,,,,,,,,,,,,13,25,,,,,,,,,,,3,86.67,,,289.4,57.87,
2024_25,Texas A&M,SEC,,,,,,,10,43.75,8,50.02,,,,,7,81.25,,,,,,,,,,,,,,,,,,,9,31.25,,,,,,,,,,,5,73.33,,,279.6,55.92,
2024_25,LSU,SEC,,,,,,,7,62.5,14,7.18,,,,,8,81.25,,,,,,,,,,,,,,,,,,,8,56.25,,,,,,,,,,,9,53.33,,,260.5,52.1,
2024_25,Florida,SEC,,,,,,,3,87.5,12,21.46,,,,,10,43.75,,,,,,,,,,,,,,,,,,,15,12.5,,,,,,,,,,,4,86.67,,,251.9,50.38,
2024_25,South Carolina,SEC,,,,,,,14,18.75,,,,,,,9,81.25,,,,,,,,,,,,,,,,,,,2,93.75,,,,,,,,,,,8,53.33,,,247.1,49.42,
2024_25,Georgia,SEC,,,,,,,16,6.25,11,28.6,,,,,1,100,,,,,,,,,,,,,,,,,,,5,56.25,,,,,,,,,,,12,33.33,,,224.4,44.89,
2024_25,Kentucky,SEC,,,,,,,15,12.5,10,35.74,,,,,15,12.5,,,,,,,,,,,,,,,,,,,12,31.25,,,,,,,,,,,1,100,,,192,38.4,
2024_25,Oklahoma,SEC,,,,,,,12,31.25,9,42.88,,,,,14,25,,,,,,,,,,,,,,,,,,,14,18.75,,,,,,,,,,,7,66.67,,,184.6,36.91,
2024_25,Auburn,SEC,,,,,,,8,56.25,7,57.16,,,,,13,25,,,,,,,,,,,,,,,,,,,11,31.25,,,,,,,,,,,15,13.33,,,183,36.6,
2024_25,Mississippi State,SEC,,,,,,,11,37.5,,,,,,,16,6.25,,,,,,,,,,,,,,,,,,,4,81.25,,,,,,,,,,,13,20,,,145,29,
2024_25,Vanderbilt,SEC,,,,,,,9,50,13,14.32,,,,,12,37.5,,,,,,,,,,,,,,,,,,,10,31.25,,,,,,,,,,,,,,,133.1,26.61,
2024_25,Ohio State,Big10,,,,,,,8,61.1,10,40,,,4,66.7,4,83.3,,,,,,,,,,,,,,,,,1,100,8,61.1,,,,,,,,,,,13,33.3,,,445.5,63.64,
2024_25,Washington,Big10,,,,,,,2,94.4,2,93.3,,,,,11,44.4,,,,,,,,,,,,,,,,,4,72.7,6,72.2,,,,,,,,,,,9,55.6,,,432.6,61.8,
2024_25,Penn State,Big10,,,,,,,4,83.3,8,53.3,,,8,22.2,2,94.4,,,,,,,,,,,,,,,,,11,9.1,10,50,,,,,,,,,,,1,100,,,412.3,58.9,
2024_25,Michigan,Big10,,,,,,,9,55.6,5,73.3,,,3,77.8,7,66.7,,,,,,,,,,,,,,,,,7,45.5,14,27.8,,,,,,,,,,,10,50,,,396.7,56.67,
2024_25,Indiana,Big10,,,,,,,13,33.3,6,66.7,,,5,55.6,3,88.9,,,,,,,,,,,,,,,,,2,90.9,18,5.6,,,,,,,,,,,11,44.4,,,385.4,55.06,
2024_25,Oregon,Big10,,,,,,,1,100,3,86.7,,,,,1,100,,,,,,,,,,,,,,,,,,,17,11.1,,,,,,,,,,,5,77.8,,,375.6,53.66,
2024_25,Wisconsin,Big10,,,,,,,3,88.9,1,100,,,,,15,22.2,,,,,,,,,,,,,,,,,10,18.2,9,55.6,,,,,,,,,,,3,88.9,,,373.8,53.4,
2024_25,Michigan State,Big10,,,,,,,6,72.2,4,80,,,9,11.1,13,33.3,,,,,,,,,,,,,,,,,5,63.6,4,83.3,,,,,,,,,,,14,27.8,,,371.3,53.04,
2024_25,Minnesota,Big10,,,,,,,5,77.8,11,33.3,,,,,8,61.1,,,,,,,,,,,,,,,,,,,7,66.7,,,,,,,,,,,7,66.7,,,305.6,43.66,
2024_25,UCLA,Big10,,,,,,,12,38.9,12,26.7,,,,,14,27.8,,,,,,,,,,,,,,,,,6,54.5,2,94.4,,,,,,,,,,,12,38.9,,,281.2,40.17,
2024_25,Illinois,Big10,,,,,,,10,50,9,46.7,,,,,5,77.8,,,,,,,,,,,,,,,,,,,11,44.4,,,,,,,,,,,8,61.1,,,280,40,
2024_25,Northwestern,Big10,,,,,,,7,66.7,,,,,1,100,16,16.7,,,,,,,,,,,,,,,,,8,36.4,15,22.2,,,,,,,,,,,17,11.1,,,253.1,36.16,
2024_25,Iowa,Big10,,,,,,,16,16.7,13,20,,,7,33.3,6,72.2,,,,,,,,,,,,,,,,,,,3,88.9,,,,,,,,,,,16,16.7,,,247.8,35.4,
2024_25,Maryland,Big10,,,,,,,15,22.2,,,,,2,88.9,17,11.1,,,,,,,,,,,,,,,,,3,81.8,16,16.7,,,,,,,,,,,15,22.2,,,242.9,34.7,
2024_25,Rutgers,Big10,,,,,,,17,11.1,15,6.7,,,6,44.4,9,55.6,,,,,,,,,,,,,,,,,9,27.3,5,77.8,,,,,,,,,,,18,5.6,,,228.5,32.64,
2024_25,USC,Big10,,,,,,,18,5.6,,,,,,,10,50,,,,,,,,,,,,,,,,,,,1,100,,,,,,,,,,,6,72.2,,,227.8,32.54,
2024_25,Nebraska,Big10,,,,,,,11,44.4,14,13.3,,,,,12,38.9,,,,,,,,,,,,,,,,,,,13,33.3,,,,,,,,,,,2,94.4,,,224.3,32.04,
2024_25,Purdue,Big10,,,,,,,14,27.8,7,60,,,,,18,5.6,,,,,,,,,,,,,,,,,,,12,38.9,,,,,,,,,,,4,83.3,,,215.6,30.8,
2024_25,BYU,Big12,,,,,,,1,100,1,100,,,,,3,87.5,,,,,,,,,,,,,,,,,,,4,81.25,,,,,,,,,,,6,66.7,,,435.45,87.09,
2024_25,Texas Tech,Big12,,,,,,,5,75,4,76.92,,,,,7,62.5,,,,,,,,,,,,,,,,,,,2,93.75,,,,,,,,,,,11,33.3,,,341.47,68.294,
2024_25,TCU,Big12,,,,,,,14,18.75,6,61.54,,,,,6,68.75,,,,,,,,,,,,,,,,,,,1,100,,,,,,,,,,,5,73.3,,,322.34,64.468,
2024_25,Kansas,Big12,,,,,,,8,56.25,7,53.85,,,,,10,43.75,,,,,,,,,,,,,,,,,,,6,68.75,,,,,,,,,,,2,93.3,,,315.9,63.18,
2024_25,Arizona State,Big12,,,,,,,9,50,11,23.08,,,,,1,100,,,,,,,,,,,,,,,,,,,11,37.5,,,,,,,,,,,1,100,,,310.58,62.116,
2024_25,Colorado,Big12,,,,,,,6,68.75,5,69.23,,,,,4,81.25,,,,,,,,,,,,,,,,,,,9,50,,,,,,,,,,,10,40,,,309.23,61.846,
2024_25,Iowa State,Big12,,,,,,,7,62.5,3,84.62,,,,,2,93.75,,,,,,,,,,,,,,,,,,,14,18.75,,,,,,,,,,,13,20,,,279.62,55.924,
2024_25,Utah,Big12,,,,,,,3,87.5,,,,,,,13,25,,,,,,,,,,,,,,,,,,,8,56.25,,,,,,,,,,,3,86.7,,,255.45,51.09,
2024_25,Oklahoma State,Big12,,,,,,,4,81.25,2,92.31,,,,,16,6.25,,,,,,,,,,,,,,,,,,,5,75,,,,,,,,,,,,,,,254.81,50.962,
2024_25,West Virginia,Big12,,,,,,,2,93.75,,,,,,,9,50,,,,,,,,,,,,,,,,,,,3,87.5,,,,,,,,,,,15,6.7,,,237.95,47.59,
2024_25,Baylor,Big12,,,,,,,13,25,13,7.69,,,,,5,75,,,,,,,,,,,,,,,,,,,10,43.75,,,,,,,,,,,4,80,,,231.44,46.288,
2024_25,Arizona,Big12,,,,,,,16,6.25,9,38.46,,,,,14,18.75,,,,,,,,,,,,,,,,,,,7,62.5,,,,,,,,,,,7,60,,,185.96,37.192,
2024_25,Cincinnati,Big12,,,,,,,11,37.5,8,46.15,,,,,11,37.5,,,,,,,,,,,,,,,,,,,12,31.25,,,,,,,,,,,12,26.7,,,179.1,35.82,
2024_25,Kansas State,Big12,,,,,,,10,43.75,12,15.38,,,,,8,56.25,,,,,,,,,,,,,,,,,,,16,6.25,,,,,,,,,,,8,53.3,,,174.93,34.986,
2024_25,Houston,Big12,,,,,,,15,12.5,10,30.77,,,,,12,31.25,,,,,,,,,,,,,,,,,,,15,12.5,,,,,,,,,,,9,46.7,,,133.72,26.744,
2024_25,UCF,Big12,,,,,,,12,31.25,,,,,,,15,12.5,,,,,,,,,,,,,,,,,,,13,25,,,,,,,,,,,14,13.3,,,82.05,16.41,
2024_25,North Carolina,ACC,,,,,,,3,88.9,3,88.2,,,1,100,12,35.3,,,,,,,,,,,,,,,,,6,66.7,4,82.4,,,,,,,,,,,5,77.8,,,539.2,77.03,
2024_25,Stanford,ACC,,,,,,,2,94.4,2,94.1,,,6,44.4,16,11.8,,,,,,,,,,,,,,,,,7,60,8,58.8,,,,,,,,,,,2,94.4,,,458,65.43,
2024_25,Virginia,ACC,,,,,,,4,83.3,4,82.4,,,2,88.9,13,29.4,,,,,,,,,,,,,,,,,8,53.3,9,52.9,,,,,,,,,,,9,55.6,,,445.8,63.69,
2024_25,Duke,ACC,,,,,,,18,5.6,11,41.2,,,4,66.7,5,76.5,,,,,,,,,,,,,,,,,3,86.7,1,100,,,,,,,,,,,13,33.3,,,409.9,58.55,
2024_25,Wake Forest,ACC,,,,,,,9,55.6,1,100,,,7,33.3,15,17.6,,,,,,,,,,,,,,,,,4,80,2,94.1,,,,,,,,,,,14,27.8,,,408.4,58.35,
2024_25,Boston College,ACC,,,,,,,6,72.2,14,23.5,,,3,77.8,8,58.8,,,,,,,,,,,,,,,,,13,20,10,47.1,,,,,,,,,,,11,44.4,,,343.9,49.12,
2024_25,Pitt,ACC,,,,,,,16,16.7,13,29.4,,,,,10,47.1,,,,,,,,,,,,,,,,,1,100,11,41.2,,,,,,,,,,,1,100,,,334.3,47.76,
2024_25,Syracuse,ACC,,,,,,,8,61.1,5,76.5,,,5,55.6,4,82.4,,,,,,,,,,,,,,,,,11,33.3,17,5.9,,,,,,,,,,,16,16.7,,,331.4,47.34,
2024_25,SMU,ACC,,,,,,,14,27.8,,,,,,,2,94.1,,,,,,,,,,,,,,,,,5,73.3,13,29.4,,,,,,,,,,,4,83.3,,,308,44,
2024_25,Notre Dame,ACC,,,,,,,1,100,6,70.6,,,,,,,,,,,,,,,,,,,,,,,10,40,6,70.6,,,,,,,,,,,15,22.2,,,303.4,43.34,
2024_25,North Carolina State,ACC,,,,,,,5,77.8,7,64.7,,,,,11,41.2,,,,,,,,,,,,,,,,,9,46.7,16,11.8,,,,,,,,,,,10,50,,,292.1,41.73,
2024_25,Clemson,ACC,,,,,,,11,44.4,16,11.8,,,,,1,100,,,,,,,,,,,,,,,,,2,93.3,14,23.5,,,,,,,,,,,17,11.1,,,284.2,40.6,
2024_25,Louisville,ACC,,,,,,,10,50,15,17.6,,,9,11.1,6,70.6,,,,,,,,,,,,,,,,,15,6.7,12,35.3,,,,,,,,,,,3,88.9,,,280.2,40.03,
2024_25,Florida State,ACC,,,,,,,7,66.7,10,47.1,,,,,17,5.9,,,,,,,,,,,,,,,,,,,3,88.2,,,,,,,,,,,6,72.2,,,280.1,40.01,
2024_25,California,ACC,,,,,,,15,22.2,9,52.9,,,8,22.2,14,23.5,,,,,,,,,,,,,,,,,12,26.7,7,64.7,,,,,,,,,,,12,38.9,,,251.2,35.88,
2024_25,Virginia Tech,ACC,,,,,,,13,33.3,8,58.8,,,,,9,52.9,,,,,,,,,,,,,,,,,14,13.3,5,76.5,,,,,,,,,,,18,5.6,,,240.5,34.35,
2024_25,Georgia Tech,ACC,,,,,,,12,38.9,12,35.3,,,,,7,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,66.7,,,205.6,29.37,
2024_25,Miami,ACC,,,,,,,17,11.1,17,5.9,,,,,3,88.2,,,,,,,,,,,,,,,,,,,15,17.6,,,,,,,,,,,8,61.1,,,184,26.28,
