Year,State,TOTAL_BALLOTS,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2022,United States,"112,030,874","260,725,069",7.50%,"1,175,823","1,074,600","412,595","2,663,018","242,907,672",46.12%,42.97%
2022,Alabama,"1,424,087","3,956,111",2.54%,"25,403","27,469","7,815","60,687","3,794,939",37.53%,36.00%
2022,Alaska,"267,047","556,592",3.56%,"4,778","1,872",865,"7,515","529,263",50.46%,47.98%
2022,Arizona,"2,592,313","5,796,801",7.78%,"31,441","47,515","7,022","85,978","5,259,832",49.29%,44.72%
2022,Arkansas,"914,227","2,347,291",3.76%,"17,331","28,009","23,829","69,169","2,189,865",41.75%,38.95%
2022,California,"11,146,610","30,478,289",14.58%,"97,608",0,0,"97,608","25,936,947",42.98%,36.57%
2022,Colorado,"2,540,666","4,630,343",5.61%,"16,366",0,0,"16,366","4,354,215",58.35%,54.87%
2022,Connecticut,"1,297,811","2,884,795",7.85%,"10,204",0,0,"10,204","2,648,135",49.01%,44.99%
2022,Delaware,"325,632","812,117",4.99%,"4,733","7,027",344,"12,104","759,489",42.88%,40.10%
2022,District of Columbia,"205,774","547,645",8.24%,0,0,0,0,"502,519",40.95%,37.57%
2022,Florida,"7,796,916","18,012,539",10.07%,"82,313","119,938","3,970","206,221","15,992,455",48.75%,43.29%
2022,Georgia,"3,964,926","8,412,085",6.21%,"48,349","233,623","17,062","299,034","7,590,660",52.23%,47.13%
2022,Hawaii,"423,443","1,142,024",7.53%,"3,993",9802,0,"13,795","1,042,235",40.63%,37.08%
2022,Idaho,"595,350","1,479,695",3.81%,"8,018","17,180","6,922","32,120","1,391,199",42.79%,40.23%
2022,Illinois,"4,144,125","9,835,042",8.00%,"29,147",0,0,"29,147","9,019,092",45.95%,42.14%
2022,Indiana,"1,880,755","5,251,799",3.97%,"25,066",0,0,"25,066","5,018,237",37.48%,35.81%
2022,Iowa,"1,230,417","2,469,712",3.74%,"8,123","17,089","6,411","31,623","2,345,722",52.45%,49.82%
2022,Kansas,"1,008,998","2,240,338",4.91%,"8,534","9,659","5,058","23,251","2,107,086",47.89%,45.04%
2022,Kentucky,"1,502,550","3,497,991",2.50%,"19,443","33,748","13,271","66,462","3,344,079",44.93%,42.95%
2022,Louisiana,"1,410,466","3,509,403",2.69%,"27,272","17,414","19,087","63,773","3,351,228",42.09%,40.19%
2022,Maine,"680,909","1,141,080",1.77%,0,0,0,0,"1,120,883",60.75%,59.67%
2022,Maryland,"2,031,635","4,804,542",8.45%,14951,0,0,"14,951","4,383,608",46.35%,42.29%
2022,Massachusetts,"2,511,461","5,641,587",8.98%,"5,647",0,0,"5,647","5,129,325",48.96%,44.52%
2022,Michigan,"4,500,400","7,908,417",3.36%,"32,054",0,0,"32,054","7,610,641",59.13%,56.91%
2022,Minnesota,"2,526,646","4,415,525",4.02%,"8,616","55,900","6,979","71,495","4,166,526",60.64%,57.22%
2022,Mississippi,"709,100","2,255,523",1.60%,"19,620","19,747","10,973","50,340","2,169,095",32.69%,31.44%
2022,Missouri,"2,304,250","4,804,425",2.27%,"23,885","24,349","18,238","66,472","4,628,893",49.78%,47.96%
2022,Montana,"468,326","889,939",1.32%,"4,434",0,0,"4,434","873,758",53.60%,52.62%
2022,Nebraska,"682,716","1,489,618",4.71%,"4,835","7,423",935,"13,193","1,406,264",48.55%,45.83%
2022,Nevada,"1,023,617","2,491,820",10.49%,"10,241",0,0,"10,241","2,220,187",46.10%,41.08%
2022,New Hampshire,"626,931","1,145,802",2.63%,"1,083",0,0,"1,083","1,114,584",56.25%,54.72%
2022,New Jersey,"2,645,539","7,255,588",11.26%,"12,537",0,0,"12,537","6,426,071",41.17%,36.46%
2022,New Mexico,"714,754","1,656,613",6.28%,"3,666","6,513","2,496","12,675","1,539,903",46.42%,43.15%
2022,New York,"5,962,278","15,633,935",10.25%,"30,192",0,0,"30,192","14,001,265",42.58%,38.14%
2022,North Carolina,"3,790,202","8,411,001",5.45%,"29,607",0,0,"29,607","7,922,995",47.84%,45.06%
2022,North Dakota,"242,566","596,109",3.16%,"1,390",0,0,"1,390","575,882",42.12%,40.69%
2022,Ohio,"4,201,368","9,180,896",2.56%,"44,788",0,0,"44,788","8,901,077",47.20%,45.76%
2022,Oklahoma,"1,153,284","3,064,908",4.39%,"22,941","14,495","1,818","39,254","2,891,104",39.89%,37.63%
2022,Oregon,"1,997,689","3,396,232",6.05%,"12,167",0,0,"12,167","3,178,593",62.85%,58.82%
2022,Pennsylvania,"5,410,022","10,323,843",3.67%,"37,910",0,0,"37,910","9,907,048",54.61%,52.40%
2022,Rhode Island,"361,449","889,425",7.60%,"2,075",0,0,"2,075","819,753",44.09%,40.64%
2022,South Carolina,"1,718,626","4,175,307",3.04%,"16,248","16,985","4,019","37,252","4,011,126",42.85%,41.16%
